FIPS,State,REGION,County,PCT_NHWHITE10,PCT_NHBLACK10,PCT_HISP10,PCT_NHASIAN10,POV,POV17,MEDIAN,crimerate,vlntcrimerate,obesity,POPEST2012
1083,AL,Southeast,Limestone,78.65478,12.502718,5.545892,1.100481,13.6,18.9,51175,692.1748207,8.698785898,33.5,87654
1085,AL,Southeast,Lowndes,25.143818,73.307372,0.76998,0.123905,31.4,42.7,30675,857.7555397,8.934953538,46.4,10857
1087,AL,Southeast,Macon,15.229349,82.188141,1.081484,0.354279,32.1,44.4,28518,1222.826087,14.05547226,42.4,20535
1089,AL,Southeast,Madison,66.1403,23.749817,4.600805,2.439287,14.2,20.3,58833,333.2073588,4.038877077,31.2,343080
1091,AL,Southeast,Marengo,45.688876,51.543254,1.674038,0.252057,25.6,32.7,32977,1155.234657,14.44043321,41.3,20401
1093,AL,Southeast,Marion,92.633871,3.827658,2.053548,0.172212,20.2,26.4,37707,1291.694437,15.86848202,34.9,30327
1095,AL,Southeast,Marshall,83.918339,1.493243,12.081403,0.510648,22,33.3,36536,1199.870397,14.63256582,35,94776
1097,AL,Southeast,Mobile,59.057803,34.449093,2.405858,1.817711,19.6,29.8,42943,336.0427585,4.103970471,36.1,413936
1099,AL,Southeast,Monroe,54.712155,41.533726,0.953702,0.290446,25.3,33.3,34733,892.7399239,8.752352195,37.2,22602
1101,AL,Southeast,Montgomery,38.410293,54.467373,3.624822,2.089265,22.5,32.2,43054,,,33.6,230149
1103,AL,Southeast,Morgan,77.483471,11.765838,7.662566,0.556532,15,23.4,45082,1494.332985,18.25392874,32.2,120395
1105,AL,Southeast,Perry,29.666698,68.397696,1.076386,0.283259,46.9,65.9,27403,1200.192031,19.20307249,37.8,10181
1107,AL,Southeast,Pickens,55.844222,41.370404,1.585131,0.162058,25,34.5,31933,895.6606784,10.29495033,37.4,19405
1109,AL,Southeast,Pike,57.40904,36.444877,2.218912,1.960546,26.4,34,31844,1422.216843,18.15595969,34.1,33182
1111,AL,Southeast,Randolph,75.415703,20.093397,2.832453,0.235674,20.4,29.8,36939,778.0400385,8.742022904,33.2,22675
1113,AL,Southeast,Russell,52.110601,41.411223,3.675373,0.421176,20.9,30.3,35585,1361.327464,16.93193363,34.8,57820
1115,AL,Southeast,St. Clair,87.264484,8.491142,2.052803,0.612491,14.3,18.5,50571,1366.106959,16.98534407,33.1,85237
1117,AL,Southeast,Shelby,80.155317,10.562575,5.92921,1.896097,9.6,11.7,69432,1254.209137,14.78886058,31.3,200941
1119,AL,Southeast,Sumter,24.006394,74.714815,0.624864,0.239773,38.1,51.1,25413,1108.483594,14.77978126,39.6,13427
1121,AL,Southeast,Talladega,64.501586,31.538078,2.030599,0.399801,22.5,32.7,39999,1227.907933,14.12864776,37.6,81762
1123,AL,Southeast,Tallapoosa,69.295463,26.552288,2.503845,0.473376,21.3,34.1,36779,1222.737935,14.97230124,36.5,41168
1125,AL,Southeast,Tuscaloosa,65.043461,29.488431,3.056161,1.177976,18,23.2,46892,1428.368607,17.2398057,32.7,198596
1127,AL,Southeast,Walker,90.397326,5.796518,1.950077,0.283485,23.5,32.9,37245,876.8391964,10.45634476,32.9,66221
1129,AL,Southeast,Washington,65.155566,24.799499,0.858882,0.102383,18.5,26.7,41321,275.6402894,5.74250603,36,17109
1131,AL,Southeast,Wilcox,26.649529,72.150814,0.616967,0.034276,33.7,47.1,24035,598.5426787,8.674531575,44.4,11431
1133,AL,Southeast,Winston,94.906878,0.469694,2.609868,0.240974,20.1,32,35528,666.0401259,8.172271483,28.7,24108
2013,AK,West,Aleutians East,13.530723,6.749443,12.257243,35.434575,16.2,15.6,55462,6986.027944,299.4011976,31.1,3161
2016,AK,West,Aleutians West,31.379248,5.718396,13.055206,28.322244,9.9,9.7,68387,4196.123147,273.6602052,36.2,5547
2020,AK,West,Anchorage,62.644864,5.245592,7.559642,7.952684,10,14.2,75200,6184.333245,397.8030574,27,298610
2050,AK,West,Bethel,10.897549,0.382061,1.063892,0.928702,23.8,31.7,45808,10104.86177,571.9733079,31.6,17746
2060,AK,West,Bristol Bay,47.74323,0,2.407222,0.802407,9.5,12.2,75364,6238.003839,95.96928983,34.1,991
2068,AK,West,Denali,88.389923,0.547645,2.30011,1.040526,7.1,8.9,69692,,,24.7,1875
2070,AK,West,Dillingham,17.639777,0.226945,2.083763,0.660202,17.5,25,51082,6884.94492,520.1958384,35.3,5034
2090,AK,West,Fairbanks North Star,74.050276,4.256976,5.791086,2.574272,9.5,10.6,67801,6172.875184,187.8449845,28.6,100272
2100,AK,West,Haines,82.216906,0.358852,1.874003,0.518341,9.8,15.4,67260,2746.615087,154.7388781,26.5,2552
2105,AK,West,Hoonah-Angoon,46.186047,0.372093,3.581395,0.55814,19.1,31,51687,,,31.5,2129
2110,AK,West,Juneau,67.354117,0.828137,5.077538,6.007994,7.9,9.6,80835,4352.901422,101.3731453,27,32556
2122,AK,West,Kenai Peninsula,82.814079,0.447653,2.962094,1.108303,11.5,14.5,62532,7775.640377,339.1718133,28,56900
2130,AK,West,Ketchikan Gateway,66.171997,0.563924,3.991986,6.945166,12.4,17.6,57776,7423.63393,206.8881587,29.3,13779
2150,AK,West,Kodiak Island,52.508829,0.625368,7.32784,19.276045,8.3,11,67972,11102.33733,758.0543272,29.3,14239
2164,AK,West,Lake and Peninsula,22.194972,0.551809,2.636419,0.367872,17.7,22.4,45570,,,32.4,1654
2170,AK,West,Matanuska-Susitna,82.786673,0.918029,3.709197,1.207933,10.7,13.1,73981,11288.75295,139.0240512,28.9,93925
2180,AK,West,Nome,15.918668,0.28445,1.211547,0.927097,26.1,34,47160,14009.5339,476.6949153,33.3,9915
2185,AK,West,North Slope,32.439024,0.965005,2.640509,4.390244,11.5,16.5,75682,7683.510085,571.8444583,35.3,9643
2188,AK,West,Northwest Arctic,11.032833,0.46524,0.770969,0.558288,23.2,28.9,65192,15266.94661,1169.766047,32.5,7810
2195,AK,West,Petersburg,69.436435,0.393185,3.407602,2.516383,8.8,11.4,56655,,,29.8,3844
2198,AK,West,Prince of Wales-Hyder,49.577262,0.30581,2.284584,0.377766,17.4,25.9,43245,,,35.3,5751
2220,AK,West,Sitka,63.517622,0.48418,4.920617,5.731337,8.6,10.3,65765,4172.18543,88.30022075,27,9046
2230,AK,West,Skagway,90.082645,0,2.169421,0.516529,3.6,5.2,69170,,,30.6,959
2240,AK,West,Southeast Fairbanks,78.745198,1.010101,3.329065,0.910514,13.8,20.6,59641,,,33,7144
2261,AK,West,Valdez-Cordova,72.114985,0.466999,3.621835,3.632213,9.9,11.4,73998,5496.668686,166.5657177,30.4,9717
2270,AK,West,Wade Hampton,2.667918,0.013407,0.093846,0.227913,35.7,43.7,30877,,,34.4,7809
2275,AK,West,Wrangell,71.718024,0.168848,1.56184,1.350781,11.9,15.6,52201,,,29.4,2403
2282,AK,West,Yakutat,40.483384,0.302115,2.567976,4.07855,14.8,24.8,52595,,,32.1,668
2290,AK,West,Yukon-Koyukuk,21.796707,0.161059,1.181102,0.250537,25.7,32.9,36708,,,26.5,5770
4001,AZ,Southwest,Apache,20.369697,0.219525,5.751,0.258676,33.1,39.5,32366,1177.740433,45.08751076,32.8,73195
4003,AZ,Southwest,Cochise,58.475325,3.758013,32.390023,1.834848,18.7,27.5,45025,4224.306834,181.0841299,24.7,132088
4005,AZ,Southwest,Coconino,55.22277,1.112177,13.514257,1.329405,21.3,24.8,48653,8574.498137,226.138959,21.5,136011
4007,AZ,Southwest,Gila,65.858164,0.363826,17.889061,0.477639,24.4,39.2,37677,5451.939543,134.0183158,26.8,53144
4009,AZ,Southwest,Graham,52.345513,1.700699,30.413756,0.518538,20,24.1,46046,3906.582872,191.7341287,31.8,37416
4011,AZ,Southwest,Greenlee,48.050255,0.936352,47.884319,0.521512,10.3,11.5,59416,4931.034483,448.2758621,33.4,8802
4012,AZ,Southwest,La Paz,62.736102,0.561277,23.456489,0.43926,22.8,35.1,32533,5527.565158,135.6457708,31.5,20281
4013,AZ,Southwest,Maricopa,58.684473,4.649844,29.570511,3.361202,17.1,24.3,53929,4072.178077,147.413545,22.2,3942169
4015,AZ,Southwest,Mohave,79.614958,0.856703,14.770763,1.007063,20.8,32,37704,6855.723777,126.1249811,28.1,203334
4017,AZ,Southwest,Navajo,43.910134,0.783628,10.76883,0.504425,28.5,35.4,35457,5496.914433,249.6085475,30.9,107094
4019,AZ,Southwest,Pima,55.26068,3.170068,34.562357,2.508714,18.7,25.9,45871,4977.563279,127.6528961,21.7,992394
4021,AZ,Southwest,Pinal,58.675786,4.259787,28.468744,1.627059,17.6,25.4,49876,3254.669991,92.6513779,29.9,387365
4023,AZ,Southwest,Santa Cruz,15.951075,0.187685,82.819485,0.495571,23.6,34.6,37465,4900.821645,101.6681882,21.2,47303
4025,AZ,Southwest,Yavapai,81.962537,0.523141,13.613037,0.806983,15.6,23.6,44145,4132.78727,137.7442196,24.7,212637
4027,AZ,Southwest,Yuma,35.260101,1.618893,59.724855,1.042651,22.6,30,39700,3465.936512,128.5321724,30.4,200022
5001,AR,Southeast,Arkansas,71.039487,24.365109,2.697303,0.483727,20.4,28.6,36409,2167.26429,121.2824299,34,18892
5003,AR,Southeast,Ashley,68.187434,25.712717,4.891777,0.183041,22.7,33.1,36176,2342.243042,119.4084688,39.8,21524
5005,AR,Southeast,Baxter,95.96271,0.142124,1.657312,0.392648,14.9,25.6,37873,4427.495563,35.97639948,29,41048
5007,AR,Southeast,Benton,76.626803,1.195903,15.488911,2.821464,11.9,16.2,57408,4465.049287,144.033848,28.4,232268
5009,AR,Southeast,Boone,95.219901,0.173428,1.82641,0.4146,16.9,25.5,39779,7219.294472,115.6162616,29.2,37327
5011,AR,Southeast,Bradley,58.011818,27.519986,13.173445,0.21724,27.4,39.1,32734,754.8152004,95.43640465,37.1,11397
5013,AR,Southeast,Calhoun,73.379285,22.168405,2.831595,0.204918,18,23.9,39493,813.3230054,193.6483346,35,5307
5015,AR,Southeast,Carroll,84.026816,0.26962,12.712235,0.582963,17.9,29.7,36964,3577.636153,54.31633835,36.2,27610
5017,AR,Southeast,Chicot,40.347458,53.788136,4.59322,0.449153,32.1,43.1,29541,1716.957076,135.9966001,39.2,11433
5019,AR,Southeast,Clark,70.350076,23.335508,4.026962,0.521853,21.5,28.2,38504,2083.242537,87.16495969,31.8,22936
5021,AR,Southeast,Clay,96.853821,0.348194,1.349251,0.111919,19.9,28.3,33826,2114.178168,56.46173149,32.7,15684
5023,AR,Southeast,Cleburne,95.856758,0.25799,1.990759,0.19638,15.2,24.1,40555,2402.692873,85.11955428,31.2,25808
5025,AR,Southeast,Cleveland,85.096099,12.118771,1.668777,0.115088,16.6,24.3,43201,367.6048248,11.48765078,36.7,8627
5027,AR,Southeast,Columbia,59.24161,36.681329,2.170903,0.696481,24.1,30.9,37495,3584.551319,97.98317955,38.1,24473
5029,AR,Southeast,Conway,82.419029,11.169088,3.558501,0.35726,18.3,27,42348,5653.131001,93.67242752,39.1,21287
5031,AR,Southeast,Craighead,79.591054,13.027384,4.434744,1.10739,22.3,30.9,42851,9555.366407,194.5525292,36.4,99735
5033,AR,Southeast,Crawford,86.798605,1.123523,6.069607,1.410861,16.6,24.1,43466,5643.384422,109.3616816,36.1,61946
5035,AR,Southeast,Crittenden,45.239873,50.986209,1.992063,0.591332,27.3,41,35455,9164.579924,603.3479898,38.4,50021
5037,AR,Southeast,Cross,74.66704,22.193621,1.488528,0.464466,22.3,32.7,38597,1462.348723,39.22008068,37.7,17683
5039,AR,Southeast,Dallas,54.127649,41.843273,2.316412,0.123213,21,31.5,34018,6047.143033,234.4810564,36.2,7987
5041,AR,Southeast,Desha,46.76353,47.478475,4.443419,0.330566,27.3,38.3,33028,3348.684724,226.367965,38.8,12545
5043,AR,Southeast,Drew,68.004754,27.764871,2.452861,0.491653,24,28.1,36801,3819.388251,226.5738793,30.8,18743
5045,AR,Southeast,Faulkner,82.416525,10.151276,3.916564,1.118009,14.7,16.5,51436,3858.540178,102.7802045,28.9,118704
5047,AR,Southeast,Franklin,93.776552,0.684138,2.046897,0.893793,17.5,25.8,40404,4222.786487,154.5595054,36.8,18045
5049,AR,Southeast,Fulton,96.406697,0.318497,0.79216,0.228665,22.6,33.8,33347,3646.748682,70.29876977,32,12318
5051,AR,Southeast,Garland,83.959219,7.8647,4.81338,0.717529,18.7,27.8,40621,7287.702707,190.782928,31,96903
5053,AR,Southeast,Grant,94.107433,2.1565,2.195709,0.263261,13.3,18.7,46067,1600.575986,138.4581303,36.6,17986
5055,AR,Southeast,Greene,95.428843,0.5512,2.140651,0.254217,16.3,23,42572,5237.628842,83.95130824,34.1,43163
5057,AR,Southeast,Hempstead,56.481932,29.293644,11.999646,0.362687,24.4,33.6,33136,5555.310028,234.2334379,41.2,22373
5059,AR,Southeast,Hot Spring,84.144823,10.764511,2.791362,0.282477,18.7,28.6,37831,2338.968672,60.59504333,32.5,33394
5061,AR,Southeast,Howard,67.387048,20.400319,9.78316,0.609181,18.8,28.9,37336,5251.452758,179.3528948,37.3,13735
5063,AR,Southeast,Independence,89.813627,1.934674,5.836767,0.753131,18.6,25.7,41085,2204.245616,228.0254085,34,37025
5065,AR,Southeast,Izard,94.962033,1.277745,1.518692,0.284755,22,28.5,32744,859.5776213,51.87106336,33,13474
5067,AR,Southeast,Jackson,78.79091,16.602767,2.422626,0.294494,25.1,33.6,32427,4053.752649,72.4880116,40.1,17600
5069,AR,Southeast,Jefferson,41.389553,54.865371,1.574224,0.768386,26.8,39.8,35927,7836.937349,216.8942314,39,74723
5071,AR,Southeast,Johnson,83.508222,1.315583,12.11433,0.6852,19.7,29.1,34923,3146.28483,61.91950464,34.7,25901
5073,AR,Southeast,Lafayette,59.947678,37.109222,1.713538,0.340092,27.5,37.3,32225,2213.386349,66.26905235,34,7447
5075,AR,Southeast,Lawrence,96.744186,0.769452,0.907264,0.126328,23,30.8,34916,1032.302964,75.39291307,33.3,17012
5077,AR,Southeast,Lee,41.442824,55.065234,1.611665,0.393323,39.3,46.5,28006,,,35.2,10216
5079,AR,Southeast,Lincoln,65.770483,29.793406,3.197962,0.141503,29,30.4,37644,817.9813643,42.67728857,35.7,14101
5081,AR,Southeast,Little River,74.641257,19.041834,2.7105,0.296105,18.2,25.5,37691,544.2698352,76.65772327,33.1,12919
5083,AR,Southeast,Logan,92.193442,1.274997,2.281573,1.614996,21.1,30.1,36391,782.122905,17.87709497,35.3,21983
5085,AR,Southeast,Lonoke,87.933759,5.93803,3.285739,0.769501,12.3,17.6,54459,2310.212057,123.5561175,33.9,69839
5087,AR,Southeast,Madison,91.945028,0.171789,4.829166,0.515366,18,28.2,39158,3517.302349,183.1270523,32.9,15645
5089,AR,Southeast,Marion,95.856602,0.168138,1.723413,0.222182,20.3,33.3,33181,2458.523684,168.3096898,30.8,16568
5091,AR,Southeast,Miller,70.61571,24.363812,2.388293,0.450969,20.8,31,40877,7426.294821,305.0654525,33.5,43634
5093,AR,Southeast,Mississippi,60.469019,33.909208,3.64673,0.492685,27.1,37.2,33577,4986.996099,294.7550932,37.7,45562
5095,AR,Southeast,Monroe,55.8228,40.667567,1.619831,0.441772,28.1,38.7,30682,419.4423884,74.019245,37.1,7828
5097,AR,Southeast,Montgomery,92.821756,0.179193,3.805207,0.516496,20.1,34.2,34597,,,33.1,9340
5099,AR,Southeast,Nevada,65.143937,30.654663,2.44526,0.255641,25.1,33.5,30935,,,34.3,8925
5101,AR,Southeast,Newton,94.765906,0.060024,1.692677,0.264106,20.1,35.1,35895,,,36.7,8086
5103,AR,Southeast,Ouachita,56.301685,39.946401,1.562021,0.363706,23,32,34971,1789.976134,138.5787974,37.8,25396
5105,AR,Southeast,Perry,93.623743,1.876496,2.364768,0.162757,17.3,26.7,40556,,,36.1,10339
5107,AR,Southeast,Phillips,34.632532,62.747621,1.319116,0.294158,35.3,50.9,28171,7661.571342,236.9558147,41.5,20784
5109,AR,Southeast,Pike,88.23842,2.896112,6.438757,0.487114,20,29.8,36893,3773.252226,52.89605924,37.3,11247
5111,AR,Southeast,Poinsett,89.008665,7.175691,2.208844,0.183053,21.9,33.9,35851,5453.732678,125.9804121,40.4,24307
5113,AR,Southeast,Polk,89.773497,0.261349,5.759365,0.425903,22,32.9,33127,3335.266821,77.33952049,32,20471
5115,AR,Southeast,Pope,86.904492,2.830586,6.74936,0.966739,18.3,25.3,39909,2218.386396,62.33218259,32.8,62765
5117,AR,Southeast,Prairie,85.714286,12.174412,0.929432,0.057372,18.7,26.7,39896,231.187146,34.6780719,35.3,8458
5119,AR,Southeast,Pulaski,55.30976,34.811939,5.7918,1.939919,16.1,23.8,45698,8356.414502,212.5014829,31.5,388953
5121,AR,Southeast,Randolph,95.865101,0.712338,1.574935,0.155824,18.3,27.9,37761,818.357755,16.58833287,35.3,17930
5123,AR,Southeast,St. Francis,42.370302,51.542926,4.066105,0.470663,33.4,45.8,30489,5933.893717,117.5381108,40.4,27858
5125,AR,Southeast,Saline,88.96544,4.616404,3.815419,0.858866,8.7,13.4,55915,2303.032508,75.49435157,31.5,111845
5127,AR,Southeast,Scott,85.346746,0.454019,6.961631,3.373987,23.7,37,33202,3729.562528,44.18912947,31.3,11010
5129,AR,Southeast,Searcy,95.179988,0.036608,1.47651,0.134228,23.3,38.1,31765,607.4129168,49.5847279,31.8,8007
5131,AR,Southeast,Sebastian,72.834489,6.241252,12.282892,4.007348,22.1,31.9,39907,7627.145208,218.6349032,35.2,127304
5133,AR,Southeast,Sevier,61.062258,4.203306,30.601477,0.363466,20.4,30.7,37014,3243.274382,63.36770551,39.8,17177
5135,AR,Southeast,Sharp,94.989574,0.527108,1.679796,0.283828,21.6,33.5,32101,2517.927428,64.70049065,33.4,17054
5137,AR,Southeast,Stone,96.111021,0.088753,1.266742,0.363079,24.4,38.6,30010,2078.887045,63.23610782,35.1,12663
5139,AR,Southeast,Union,61.773818,32.839405,3.506328,0.470713,23.1,33.5,40841,2794.343978,281.3582147,35.5,40867
5141,AR,Southeast,Van Buren,94.142816,0.375831,2.746459,0.323793,22,33,32975,288.5003751,23.08003,35,17030
5143,AR,Southeast,Washington,74.136853,2.870017,15.491591,2.153005,19.3,22,45589,5487.068825,167.7860169,29.2,211411
5145,AR,Southeast,White,89.555763,3.935077,3.735274,0.53324,19.4,25,42044,2791.088907,52.25326264,35.4,78493
5147,AR,Southeast,Woodruff,69.435262,27.396694,1.198347,0.206612,25.1,35.9,29969,1295.479603,27.56339581,36.1,7100
5149,AR,Southeast,Yell,76.718503,1.298174,19.066937,1.253099,17.4,27.2,37080,2790.823699,90.31791908,35.2,21932
6001,CA,West,Alameda,34.07064,12.191587,22.505166,25.857876,12.5,14.3,76996,2802.34861,216.3773216,20,1554720
6003,CA,West,Alpine,72.510638,0,7.148936,0.595745,19,28.2,53003,7284.172662,449.6402878,23.7,1129
6005,CA,West,Amador,79.611982,2.462524,12.485889,1.039616,12.9,18.6,54610,2963.059653,245.398773,26.6,37035
6007,CA,West,Butte,75.189091,1.424091,14.143636,4.055,21.9,24.3,42302,4928.725333,316.2265135,25.2,221539
6009,CA,West,Calaveras,83.535916,0.778885,10.318575,1.160648,13.7,20.6,53321,3586.980427,340.8840994,25.3,44742
6011,CA,West,Colusa,39.796442,0.78435,55.109949,1.246557,14.3,19.9,48006,5411.743069,275.8747529,23.7,21411
6013,CA,West,Contra Costa,47.751293,8.922952,24.361669,14.192321,10.5,13.8,80338,2512.402624,224.6320106,22.9,1079597
6015,CA,West,Del Norte,64.708144,3.379937,17.801468,3.278574,22.4,31,41419,5372.515125,477.0959378,27.2,28290
6017,CA,West,El Dorado,79.913067,0.715793,12.081764,3.392835,11.4,13.1,70235,3211.109651,254.0850747,19.4,180561
6019,CA,West,Fresno,32.728465,4.836907,50.305766,9.334838,27.5,38,43338,4903.703891,406.5578869,28.8,947895
6021,CA,West,Glenn,55.888628,0.682739,37.475997,2.3967,17.1,23.7,43755,4882.172673,405.0864772,28.3,27992
6023,CA,West,Humboldt,77.221574,1.034741,9.813331,2.119994,21,23.9,40581,6777.393005,358.0592746,24.5,134827
6025,CA,West,Imperial,13.709548,2.930189,80.371631,1.261116,23.6,31.3,38737,4558.503405,343.5945361,25,176948
6027,CA,West,Inyo,66.300011,0.549984,19.395018,1.234768,14,20.2,49267,4021.66336,380.7174647,22.9,18495
6029,CA,West,Kern,38.563845,5.404398,49.192205,3.942208,24.5,32.9,47451,4715.172497,441.945631,28.5,856158
6031,CA,West,Kings,35.219176,6.74197,50.898799,3.489953,24.9,33.8,44490,6029.344485,394.9971326,24.9,151364
6033,CA,West,Lake,74.132838,1.834068,17.146834,1.07477,24.3,32.3,36333,5973.597868,546.8352871,26.6,63983
6035,CA,West,Lassen,66.685772,7.995415,17.529732,0.965754,19.4,20.3,49995,3867.659414,336.0662862,24.9,33658
6037,CA,West,Los Angeles,27.787257,8.301444,47.74496,13.501623,18.7,26.7,55686,3272.156611,291.7213594,21,9962789
6039,CA,West,Madera,38.034004,3.320187,53.685083,1.678985,22.3,30.7,43171,3149.478758,274.712815,26.7,152218
6041,CA,West,Marin,72.830208,2.623124,15.47845,5.378968,8.8,10.1,94549,2857.076256,193.8647065,18.1,256069
6043,CA,West,Mariposa,83.239275,0.706811,9.183058,1.10131,16.2,25,47781,4057.734205,332.2440087,23.4,17905
6045,CA,West,Mendocino,68.5887,0.619301,22.204893,1.596066,18.8,26.2,42840,6041.984949,434.561195,23.2,87428
6047,CA,West,Merced,31.900404,3.434418,54.921362,7.108482,24.8,35.9,43818,3975.860439,361.7884319,29.3,262305
6049,CA,West,Modoc,78.969647,0.794962,13.855049,0.722693,20.2,31.3,39172,6975.533576,780.8433108,24.6,9327
6051,CA,West,Mono,68.208703,0.295733,26.489227,1.344881,11.3,16.2,59181,3088.214929,242.3487052,22.2,14348
6053,CA,West,Monterey,32.871389,2.722518,55.414798,5.728611,17,25.2,57428,3208.708109,291.444541,23.7,426762
6055,CA,West,Napa,56.392691,1.787755,32.245538,6.583922,9,12,71063,3430.486195,231.0429941,24.3,139045
6057,CA,West,Nevada,86.546717,0.345268,8.544611,1.138067,11.4,17.6,57118,3107.730643,173.8239254,20,98292
